ID TIME n private balances
8 1787162984.658 0 {} {}
8 1787162984.658 0 None {}
8 1787162984.658 1 None {'2': 0}
8 1787162984.658 2 None {'2': 0, '4': 0}
8 1787162984.658 3 None {'2': 0, '4': 0}
8 1787162984.658 4 None {'2': 0, '4': 0, '9': 0}
8 1787162984.658 5 None {'2': 0, '4': 0, '9': 0, '7': 0}
8 1787162984.658 6 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0}
8 1787162984.658 7 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0}
8 1787162984.658 8 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0}
8 1787162984.658 9 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0}
8 1787162984.658 10 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0}
8 1787162984.658 11 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0}
8 1787162984.658 12 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0}
8 1787162984.658 13 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0}
8 1787162984.658 14 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0}
8 1787162984.658 15 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0}
8 1787162984.659 16 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0}
8 1787162984.659 17 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0}
8 1787162984.659 18 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0}
8 1787162984.659 19 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0}
8 1787162984.659 20 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0}
8 1787162984.659 21 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0}
8 1787162984.659 22 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0, '1': 0}
8 1787162984.659 23 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0, '1': 0}
8 1787162984.659 24 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0, '1': 0}
8 1787162984.659 25 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0, '1': 0}
8 1787162984.659 26 None {'2': 0, '4': 0, '9': 0, '7': 0, '6': 0, '10': 0, '8': 0, '5': 0, '3': 0, '1': 0}
