ID TIME EVENT X Y XMIN XMAX YMIN YMAX
10 11.251 ENTER 0.917 1.05 -0.175 2.138 -0.175 2.138
10 13.18 EXIT 0.903 1.054 -0.175 2.138 -0.175 2.138
10 14.996 ENTER 0.935 1.032 -0.175 2.138 -0.175 2.138
10 17.583 EXIT 0.9 1.059 -0.175 2.138 -0.175 2.138
10 18.785 ENTER 0.917 1.05 -0.175 2.138 -0.175 2.138
10 22.348 EXIT 0.912 1.05 -0.175 2.138 -0.175 2.138
10 172.511 ENTER 0.953 1.014 -0.175 2.138 -0.175 2.138
10 187.586 EXIT 0.957 1.002 -0.175 2.138 -0.175 2.138
10 231.817 ENTER 0.964 0.999 -0.175 2.138 -0.175 2.138
10 251.024 EXIT 0.921 1.032 -0.175 2.138 -0.175 2.138
