ID TIME EVENT X Y XMIN XMAX YMIN YMAX
5 0.02 ENTER 1.465 1.524 -0.227 2.76 -0.227 2.76
5 0.772 EXIT 1.368 1.164 -0.227 2.76 -0.227 2.76
5 2.048 ENTER 1.382 1.154 -0.227 2.76 -0.227 2.76
5 14.222 EXIT 1.341 1.179 -0.227 2.76 -0.227 2.76
5 19.569 ENTER 1.155 1.379 -0.227 2.76 -0.227 2.76
5 19.643 EXIT 1.155 1.371 -0.227 2.76 -0.227 2.76
5 20.143 ENTER 1.159 1.375 -0.227 2.76 -0.227 2.76
5 26.38 EXIT 1.37 1.158 -0.227 2.76 -0.227 2.76
5 27.543 ENTER 1.218 1.322 -0.227 2.76 -0.227 2.76
5 27.791 EXIT 1.249 1.277 -0.227 2.76 -0.227 2.76
5 28.496 ENTER 1.161 1.385 -0.227 2.76 -0.227 2.76
5 32.926 EXIT 1.158 1.374 -0.227 2.76 -0.227 2.76
