ID TIME n private balances
2 1787161216.201 0 {} {}
2 1787161216.201 0 {} {}
2 1787161216.201 1 None {'2': 0}
2 1787161216.201 2 None {'2': 0, '3': 0}
2 1787161216.201 3 None {'2': 0, '3': 0, '5': 0}
2 1787161216.202 4 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 5 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 6 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 7 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 8 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 9 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 10 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 11 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 12 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.202 13 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.203 14 None {'2': 0, '3': 0, '5': 0, '4': 0}
2 1787161216.203 15 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
2 1787161216.203 16 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
2 1787161216.203 17 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
2 1787161216.203 18 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
2 1787161216.203 19 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
2 1787161216.203 20 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
2 1787161216.203 21 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
2 1787161216.203 22 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
