ID TIME n private balances
1 1786984330.381 0 {} {}
1 1786984330.381 0 {} {}
1 1786984330.381 5 None {'4': 0, '0': 0, '2': 0, '3': 0, '1': 0}
1 1786984330.381 6 None {'4': 4, '0': 0, '2': 0, '3': 0, '1': 0}
1 1786984330.381 11 None {'4': 4, '0': 0, '2': 0, '3': 0, '1': 0}
1 1786984330.381 15 None {'4': 4, '0': 0, '2': 0, '3': 0, '1': 4}
1 1786984330.381 19 None {'4': 7, '0': 0, '2': 0, '3': 0, '1': 4}
1 1786984330.381 22 None {'4': 7, '0': 0, '2': 0, '3': 0, '1': 7}
1 1786984330.381 27 None {'4': 7, '0': 0, '2': 0, '3': 2, '1': 7}
1 1786984330.381 30 None {'4': 7, '0': 0, '2': 0, '3': 6, '1': 7}
1 1786984330.381 31 None {'4': 7, '0': 0, '2': 0, '3': 6, '1': 9}
1 1786984330.381 32 None {'4': 7, '0': 0, '2': 0, '3': 6, '1': 9}
