ID TIME n private balances
2 1787162809.685 0 {} {}
2 1787162809.685 0 None {}
2 1787162809.685 1 None {'9': 0}
2 1787162809.686 2 None {'9': 0, '4': 0}
2 1787162809.686 3 None {'9': 0, '4': 0, '1': 0}
2 1787162809.686 4 None {'9': 0, '4': 0, '1': 0}
2 1787162809.686 5 None {'9': 0, '4': 0, '1': 0}
2 1787162809.686 6 None {'9': 0, '4': 0, '1': 0}
2 1787162809.686 7 None {'9': 0, '4': 0, '1': 0}
2 1787162809.686 8 None {'9': 0, '4': 0, '1': 0}
2 1787162809.686 9 None {'9': 0, '4': 0, '1': 0}
2 1787162809.686 10 None {'9': 0, '4': 0, '1': 0}
2 1787162809.687 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
2 1787162809.687 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
2 1787162809.687 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
2 1787162809.687 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
2 1787162809.687 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
2 1787162809.687 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
2 1787162809.687 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
2 1787162809.687 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
