ID TIME n private balances
3 1786984339.843 0 {} {}
3 1786984339.844 3 {} {'3': 0, '0': 0, '4': 0, '1': 0}
3 1786984339.844 9 None {'3': 3, '0': 0, '4': 0, '1': 0, '2': 0}
3 1786984339.844 12 None {'3': 3, '0': 0, '4': 0, '1': 0, '2': 5}
3 1786984339.844 15 None {'3': 3, '0': 0, '4': 2, '1': 0, '2': 5}
3 1786984339.844 18 None {'3': 3, '0': 0, '4': 4, '1': 0, '2': 5}
3 1786984339.844 19 None {'3': 3, '0': 0, '4': 6, '1': 0, '2': 5}
3 1786984339.844 29 None {'3': 3, '0': 0, '4': 6, '1': 0, '2': 5}
