ID TIME n private balances
9 1787162809.656 0 {} {}
9 1787162809.656 0 {} {}
9 1787162809.656 1 None {'9': 0}
9 1787162809.656 2 None {'9': 0, '4': 0}
9 1787162809.656 3 None {'9': 0, '4': 0, '1': 0}
9 1787162809.656 4 None {'9': 0, '4': 0, '1': 0}
9 1787162809.656 5 None {'9': 0, '4': 0, '1': 0}
9 1787162809.656 6 None {'9': 0, '4': 0, '1': 0}
9 1787162809.657 7 None {'9': 0, '4': 0, '1': 0}
9 1787162809.657 8 None {'9': 0, '4': 0, '1': 0}
9 1787162809.657 9 None {'9': 0, '4': 0, '1': 0}
9 1787162809.657 10 None {'9': 0, '4': 0, '1': 0}
9 1787162809.657 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
9 1787162809.657 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
9 1787162809.657 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
9 1787162809.657 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
9 1787162809.657 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
9 1787162809.657 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
9 1787162809.657 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
9 1787162809.657 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
