ID TIME n private balances
3 1786976362.839 0 {} {}
3 1786976362.84 0 None {}
3 1786976362.84 3 None {'2': 0, '0': 0, '4': 0, '1': 0}
3 1786976362.84 6 None {'2': 2, '0': 0, '4': 0, '1': 0, '3': 0}
3 1786976362.84 8 None {'2': 2, '0': 0, '4': 0, '1': 0, '3': 2}
3 1786976362.84 12 None {'2': 2, '0': 0, '4': 1, '1': 0, '3': 2}
3 1786976362.84 15 None {'2': 5, '0': 0, '4': 1, '1': 0, '3': 2}
3 1786976362.84 18 None {'2': 5, '0': 0, '4': 1, '1': 0, '3': 4}
3 1786976362.84 21 None {'2': 5, '0': 0, '4': 3, '1': 0, '3': 4}
3 1786976362.84 24 None {'2': 7, '0': 0, '4': 3, '1': 0, '3': 4}
3 1786976362.84 27 None {'2': 7, '0': 0, '4': 3, '1': 0, '3': 6}
3 1786976362.84 30 None {'2': 7, '0': 0, '4': 5, '1': 0, '3': 6}
3 1786976362.84 33 None {'2': 9, '0': 0, '4': 5, '1': 0, '3': 6}
3 1786976362.84 37 None {'2': 9, '0': 0, '4': 5, '1': 0, '3': 8}
