ID TIME n private balances
2 1786984320.369 0 {} {}
2 1786984320.369 1 {} {'2': 0, '0': 0}
2 1786984320.369 2 {} {'2': 1, '0': 0}
2 1786984320.369 8 {} {'2': 1, '0': 0, '4': 0, '3': 0}
2 1786984320.369 12 None {'2': 6, '0': 0, '4': 0, '3': 0}
2 1786984320.37 15 None {'2': 6, '0': 0, '4': 3, '3': 0}
2 1786984320.37 20 None {'2': 6, '0': 0, '4': 5, '3': 0, '1': 0}
2 1786984320.37 23 None {'2': 10, '0': 0, '4': 5, '3': 0, '1': 0}
