ID TIME n private balances
1 1786984320.378 0 {} {}
1 1786984320.378 1 None {'2': 0, '0': 0}
1 1786984320.379 2 None {'2': 1, '0': 0}
1 1786984320.379 8 None {'2': 1, '0': 0, '4': 0, '3': 0}
1 1786984320.379 12 None {'2': 6, '0': 0, '4': 0, '3': 0}
1 1786984320.379 15 None {'2': 6, '0': 0, '4': 3, '3': 0}
1 1786984320.379 19 None {'2': 6, '0': 0, '4': 5, '3': 0, '1': 0}
