ID TIME ROBOT_ID QLTY QTTY TOTAL
0 6.715 4 blue 8
0 9.746 20 blue 48
0 10.979 19 blue 64
0 12.71 3 blue 88
0 14.172 14 blue 104
0 15.272 1 blue 128
0 16.31 6 blue 152
0 17.608 20 blue 160
0 19.501 14 blue 165
0 20.964 17 blue 186
0 22.248 7 blue 214
0 23.847 15 blue 238
0 25.204 11 blue 277
0 27.747 13 blue 293
0 29.632 12 blue 317
0 30.697 18 blue 341
0 32.583 19 blue 365
0 33.997 14 blue 389
0 35.907 17 blue 413
0 36.944 2 blue 421
0 38.016 1 blue 453
0 39.797 8 blue 477
0 41.532 14 blue 501
0 43.098 16 blue 517
0 44.179 17 blue 546
0 45.217 18 blue 554
0 46.773 2 blue 562
0 48.758 13 blue 600
0 50.013 8 blue 627
0 51.466 3 blue 635
0 54.291 5 blue 675
0 55.357 15 blue 691
0 56.362 10 blue 707
0 57.751 14 blue 715
0 60.114 18 blue 731
0 61.266 5 blue 762
0 62.729 17 blue 786
0 64.863 10 blue 815
0 68.263 5 blue 829
0 69.834 13 blue 867
0 71.217 6 blue 880
0 72.239 10 blue 901
0 73.676 18 blue 914
0 76.558 20 blue 922
0 78.681 6 blue 954
0 79.908 2 blue 962
0 81.135 14 blue 978
0 82.456 10 blue 994
0 83.46 19 blue 1018
0 84.577 9 blue 1028
0 86.376 16 blue 1042
0 87.83 3 blue 1066
0 88.917 18 blue 1074
0 92.827 6 blue 1090
0 94.275 5 blue 1122
0 95.789 14 blue 1143
0 97.943 2 blue 1167
0 101.613 11 blue 1175
0 102.914 1 blue 1197
0 104.094 14 blue 1221
0 106.054 15 blue 1245
0 108.942 3 blue 1255
0 110.482 20 blue 1268
0 111.952 10 blue 1282
