ID TIME n private balances
2 1787134062.267 0 {} {}
2 1787134062.267 0 None {}
2 1787134062.267 1 None {'1': 0}
2 1787134062.267 2 None {'1': 0, '2': 0}
2 1787134062.267 3 None {'1': 0, '2': 0, '4': 0}
2 1787134062.267 4 None {'1': 0, '2': 0, '4': 0, '5': 0}
2 1787134062.267 5 None {'1': 0, '2': 0, '4': 0, '5': 0}
2 1787134062.267 6 None {'1': 0, '2': 0, '4': 0, '5': 0}
2 1787134062.267 7 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.267 8 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 9 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 10 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 11 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 12 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 13 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 14 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 15 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 16 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 17 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 18 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 19 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 20 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 21 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 22 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 23 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 24 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 25 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 26 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 27 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 28 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 29 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
2 1787134062.268 30 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
