ID TIME EVENT X Y XMIN XMAX YMIN YMAX
3 0.016 ENTER 1.239 1.165 -0.203 2.469 -0.203 2.469
3 0.447 EXIT 1.175 1.086 -0.203 2.469 -0.203 2.469
3 1.057 ENTER 1.183 1.089 -0.203 2.469 -0.203 2.469
3 2.912 EXIT 1.17 1.088 -0.203 2.469 -0.203 2.469
3 4.584 ENTER 1.227 1.051 -0.203 2.469 -0.203 2.469
3 6.058 EXIT 1.192 1.065 -0.203 2.469 -0.203 2.469
3 8.285 ENTER 1.222 1.049 -0.203 2.469 -0.203 2.469
3 9.186 EXIT 1.208 1.052 -0.203 2.469 -0.203 2.469
3 14.034 ENTER 1.173 1.093 -0.203 2.469 -0.203 2.469
3 22.726 EXIT 1.041 1.224 -0.203 2.469 -0.203 2.469
3 23.37 ENTER 1.037 1.236 -0.203 2.469 -0.203 2.469
3 33.673 EXIT 1.219 1.04 -0.203 2.469 -0.203 2.469
3 45.995 ENTER 1.107 1.169 -0.203 2.469 -0.203 2.469
3 177.14 EXIT 1.128 1.135 -0.203 2.469 -0.203 2.469
3 179.34 ENTER 1.142 1.129 -0.203 2.469 -0.203 2.469
3 192.57 EXIT 1.119 1.144 -0.203 2.469 -0.203 2.469
3 194.544 ENTER 1.132 1.137 -0.203 2.469 -0.203 2.469
3 208.366 EXIT 1.108 1.147 -0.203 2.469 -0.203 2.469
3 210.313 ENTER 1.124 1.146 -0.203 2.469 -0.203 2.469
3 224.072 EXIT 1.102 1.16 -0.203 2.469 -0.203 2.469
3 225.941 ENTER 1.117 1.156 -0.203 2.469 -0.203 2.469
3 402.405 EXIT 1.13 1.132 -0.203 2.469 -0.203 2.469
3 435.264 ENTER 1.103 1.167 -0.203 2.469 -0.203 2.469
