ID TIME n private balances
1 1786984619.916 0 {} {}
1 1786984619.916 2 None {'2': 0, '0': 0, '1': 0}
1 1786984619.916 3 None {'2': 2, '0': 0, '1': 0}
1 1786984619.916 5 None {'2': 2, '0': 0, '1': 0}
1 1786984619.916 8 None {'2': 2, '0': 0, '1': 1}
1 1786984619.916 11 None {'2': 4, '0': 0, '1': 1}
1 1786984619.917 14 None {'2': 6, '0': 0, '1': 1}
1 1786984619.917 16 None {'2': 6, '0': 0, '1': 3}
1 1786984619.917 18 None {'2': 6, '0': 0, '1': 4}
1 1786984619.917 20 None {'2': 6, '0': 0, '1': 5}
