ID TIME n private balances
2 1787160953.489 0 {} {}
2 1787160953.489 0 None {}
2 1787160953.489 1 None {'3': 0}
2 1787160953.489 2 None {'3': 0, '1': 0}
2 1787160953.489 3 None {'3': 0, '1': 0, '5': 0}
2 1787160953.489 4 None {'3': 0, '1': 0, '5': 0}
2 1787160953.489 5 None {'3': 0, '1': 0, '5': 0}
2 1787160953.489 6 None {'3': 0, '1': 0, '5': 0}
2 1787160953.489 7 None {'3': 0, '1': 0, '5': 0}
2 1787160953.489 8 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 9 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 10 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 11 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 12 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 13 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 14 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 15 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 16 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 17 None {'3': 0, '1': 0, '5': 0, '4': 0}
2 1787160953.489 18 None {'3': 0, '1': 0, '5': 0, '4': 0, '2': 0}
2 1787160953.489 19 None {'3': 0, '1': 0, '5': 0, '4': 0, '2': 0}
