ID TIME n private balances
3 1786769804.839 0 {} {}
3 1786769804.839 1 None {'1': 0, '0': 0}
3 1786769804.839 8 None {'1': 1, '0': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1786769804.84 10 None {'1': 1, '0': 0, '2': 6, '4': 0, '5': 0, '3': 0}
3 1786769804.84 15 None {'1': 1, '0': 0, '2': 6, '4': 0, '5': 0, '3': 1}
3 1786769804.84 20 None {'1': 5, '0': 0, '2': 6, '4': 0, '5': 0, '3': 1}
3 1786769804.84 24 None {'1': 5, '0': 0, '2': 6, '4': 4, '5': 0, '3': 1}
3 1786769804.84 26 None {'1': 5, '0': 0, '2': 6, '4': 4, '5': 0, '3': 4}
3 1786769804.84 33 None {'1': 6, '0': 0, '2': 6, '4': 4, '5': 0, '3': 4}
3 1786769804.84 37 None {'1': 6, '0': 0, '2': 6, '4': 4, '5': 6, '3': 4}
3 1786769804.84 40 None {'1': 6, '0': 0, '2': 6, '4': 7, '5': 6, '3': 4}
3 1786769804.84 47 None {'1': 6, '0': 0, '2': 6, '4': 7, '5': 6, '3': 6}
3 1786769804.841 53 None {'1': 12, '0': 0, '2': 6, '4': 7, '5': 6, '3': 6}
3 1786769804.841 56 None {'1': 12, '0': 0, '2': 6, '4': 12, '5': 6, '3': 6}
3 1786769804.841 62 None {'1': 12, '0': 0, '2': 6, '4': 12, '5': 6, '3': 8}
3 1786769804.841 68 None {'1': 12, '0': 0, '2': 6, '4': 12, '5': 11, '3': 8}
3 1786769804.841 71 None {'1': 12, '0': 0, '2': 6, '4': 17, '5': 11, '3': 8}
3 1786769804.841 74 None {'1': 14, '0': 0, '2': 6, '4': 17, '5': 11, '3': 8}
3 1786769804.841 81 None {'1': 14, '0': 0, '2': 8, '4': 17, '5': 11, '3': 8}
3 1786769804.841 86 None {'1': 14, '0': 0, '2': 8, '4': 23, '5': 11, '3': 8}
3 1786769804.841 90 None {'1': 14, '0': 0, '2': 8, '4': 23, '5': 15, '3': 8}
3 1786769804.842 95 None {'1': 17, '0': 0, '2': 8, '4': 23, '5': 15, '3': 8}
3 1786769804.842 101 None {'1': 17, '0': 0, '2': 12, '4': 23, '5': 15, '3': 8}
3 1786769804.842 105 None {'1': 17, '0': 0, '2': 12, '4': 28, '5': 15, '3': 8}
3 1786769804.842 108 None {'1': 17, '0': 0, '2': 12, '4': 28, '5': 15, '3': 11}
3 1786769804.842 111 None {'1': 17, '0': 0, '2': 14, '4': 28, '5': 15, '3': 11}
3 1786769804.842 116 None {'1': 19, '0': 0, '2': 14, '4': 28, '5': 15, '3': 11}
3 1786769804.842 119 None {'1': 19, '0': 0, '2': 14, '4': 32, '5': 15, '3': 11}
3 1786769804.843 122 None {'1': 19, '0': 0, '2': 14, '4': 32, '5': 17, '3': 11}
3 1786769804.843 124 None {'1': 19, '0': 0, '2': 16, '4': 32, '5': 17, '3': 11}
3 1786769804.843 128 None {'1': 19, '0': 0, '2': 16, '4': 33, '5': 17, '3': 11}
3 1786769804.843 132 None {'1': 22, '0': 0, '2': 16, '4': 33, '5': 17, '3': 11}
3 1786769804.843 135 None {'1': 22, '0': 0, '2': 19, '4': 33, '5': 17, '3': 11}
3 1786769804.843 140 None {'1': 22, '0': 0, '2': 19, '4': 35, '5': 17, '3': 11}
3 1786769804.843 144 None {'1': 22, '0': 0, '2': 19, '4': 35, '5': 17, '3': 15}
3 1786769804.844 149 None {'1': 22, '0': 0, '2': 22, '4': 35, '5': 17, '3': 15}
3 1786769804.844 153 None {'1': 26, '0': 0, '2': 22, '4': 35, '5': 17, '3': 15}
3 1786769804.844 158 None {'1': 26, '0': 0, '2': 22, '4': 38, '5': 17, '3': 15}
3 1786769804.844 162 None {'1': 26, '0': 0, '2': 26, '4': 38, '5': 17, '3': 15}
3 1786769804.844 164 None {'1': 26, '0': 0, '2': 26, '4': 38, '5': 17, '3': 18}
3 1786769804.844 167 None {'1': 26, '0': 0, '2': 26, '4': 39, '5': 17, '3': 18}
3 1786769804.844 169 None {'1': 26, '0': 0, '2': 28, '4': 39, '5': 17, '3': 18}
3 1786769804.844 175 None {'1': 27, '0': 0, '2': 28, '4': 39, '5': 17, '3': 18}
3 1786769804.845 181 None {'1': 27, '0': 0, '2': 28, '4': 39, '5': 22, '3': 18}
3 1786769804.845 185 None {'1': 27, '0': 0, '2': 28, '4': 44, '5': 22, '3': 18}
3 1786769804.845 188 None {'1': 30, '0': 0, '2': 28, '4': 44, '5': 22, '3': 18}
3 1786769804.845 191 None {'1': 30, '0': 0, '2': 28, '4': 44, '5': 24, '3': 18}
3 1786769804.845 197 None {'1': 30, '0': 0, '2': 28, '4': 46, '5': 24, '3': 18}
3 1786769804.845 200 None {'1': 30, '0': 0, '2': 33, '4': 46, '5': 24, '3': 18}
3 1786769804.845 202 None {'1': 30, '0': 0, '2': 33, '4': 46, '5': 24, '3': 20}
3 1786769804.845 209 None {'1': 30, '0': 0, '2': 33, '4': 47, '5': 24, '3': 20}
3 1786769804.845 213 None {'1': 30, '0': 0, '2': 39, '4': 47, '5': 24, '3': 20}
3 1786769804.846 216 None {'1': 33, '0': 0, '2': 39, '4': 47, '5': 24, '3': 20}
3 1786769804.846 221 None {'1': 33, '0': 0, '2': 39, '4': 49, '5': 24, '3': 20}
3 1786769804.846 225 None {'1': 33, '0': 0, '2': 39, '4': 49, '5': 24, '3': 24}
3 1786769804.846 230 None {'1': 36, '0': 0, '2': 39, '4': 49, '5': 24, '3': 24}
3 1786769804.846 235 None {'1': 36, '0': 0, '2': 39, '4': 53, '5': 24, '3': 24}
3 1786769804.846 241 None {'1': 36, '0': 0, '2': 39, '4': 53, '5': 28, '3': 24}
3 1786769804.846 244 None {'1': 36, '0': 0, '2': 44, '4': 53, '5': 28, '3': 24}
3 1786769804.846 248 None {'1': 36, '0': 0, '2': 44, '4': 53, '5': 28, '3': 26}
3 1786769804.847 253 None {'1': 36, '0': 0, '2': 44, '4': 53, '5': 31, '3': 26}
3 1786769804.847 257 None {'1': 40, '0': 0, '2': 44, '4': 53, '5': 31, '3': 26}
3 1786769804.847 261 None {'1': 40, '0': 0, '2': 47, '4': 53, '5': 31, '3': 26}
3 1786769804.847 265 None {'1': 40, '0': 0, '2': 47, '4': 53, '5': 31, '3': 29}
