ID TIME EVENT X Y XMIN XMAX YMIN YMAX
8 46.207 ENTER 1.058 1.213 -0.203 2.469 -0.203 2.469
8 55.462 EXIT 1.08 1.183 -0.203 2.469 -0.203 2.469
8 227.548 ENTER 1.054 1.221 -0.203 2.469 -0.203 2.469
8 268.696 EXIT 1.089 1.173 -0.203 2.469 -0.203 2.469
8 312.015 ENTER 1.168 1.107 -0.203 2.469 -0.203 2.469
8 364.759 EXIT 1.203 1.059 -0.203 2.469 -0.203 2.469
8 416.834 ENTER 1.201 1.075 -0.203 2.469 -0.203 2.469
8 479.74 EXIT 1.223 1.04 -0.203 2.469 -0.203 2.469
8 532.664 ENTER 1.194 1.075 -0.203 2.469 -0.203 2.469
8 601.135 EXIT 1.215 1.046 -0.203 2.469 -0.203 2.469
8 655.632 ENTER 1.193 1.084 -0.203 2.469 -0.203 2.469
8 729.709 EXIT 1.207 1.057 -0.203 2.469 -0.203 2.469
