ID TIME n private balances
2 1787161608.55 0 {} {}
2 1787161608.55 0 None {}
2 1787161608.55 1 None {'3': 0}
2 1787161608.55 2 None {'3': 0, '5': 0}
2 1787161608.55 3 None {'3': 0, '5': 0}
2 1787161608.55 4 None {'3': 0, '5': 0, '2': 0}
2 1787161608.55 5 None {'3': 0, '5': 0, '2': 0, '4': 0}
2 1787161608.55 6 None {'3': 0, '5': 0, '2': 0, '4': 0}
2 1787161608.55 7 None {'3': 0, '5': 0, '2': 0, '4': 0}
2 1787161608.55 8 None {'3': 0, '5': 0, '2': 0, '4': 0}
