ID TIME ROBOT_ID QLTY QTTY TOTAL
0 5.67 4 blue 8
0 7.171 5 blue 16
0 8.761 13 blue 64
0 10.125 10 blue 80
0 11.2 4 blue 104
0 12.237 2 blue 112
0 14.138 9 blue 133
0 16.486 15 blue 157
0 17.949 12 blue 197
0 19.896 14 blue 234
0 22.076 7 blue 248
0 23.367 15 blue 276
0 24.588 4 blue 307
0 26.518 1 blue 339
0 27.829 6 blue 363
0 29.22 5 blue 377
0 30.839 13 blue 385
0 32.052 2 blue 425
0 33.905 14 blue 454
0 35.379 5 blue 483
0 36.971 1 blue 499
0 39.074 12 blue 507
0 40.081 13 blue 539
0 43.228 1 blue 563
0 44.43 5 blue 579
0 45.637 2 blue 611
0 47.635 1 blue 632
0 48.806 10 blue 656
0 51.261 6 blue 680
0 52.702 15 blue 704
0 54.413 1 blue 712
0 55.791 13 blue 736
0 57.046 5 blue 760
0 58.168 11 blue 776
0 59.581 4 blue 792
0 61.203 15 blue 808
0 63.326 3 blue 824
0 64.728 12 blue 832
0 65.768 7 blue 864
0 66.927 10 blue 872
0 67.961 13 blue 890
0 70.192 5 blue 906
0 72.751 2 blue 914
0 74.083 13 blue 954
0 75.898 5 blue 970
0 77.257 14 blue 978
0 79.012 10 blue 986
0 80.567 2 blue 1010
0 82.815 1 blue 1033
0 84.611 11 blue 1057
0 85.649 4 blue 1062
0 87.076 15 blue 1078
0 88.313 9 blue 1086
