ID TIME EVENT X Y XMIN XMAX YMIN YMAX
1 0.007 ENTER 0.591 1.091 -0.102 1.234 -0.102 1.234
1 12.793 EXIT 0.574 0.555 -0.102 1.234 -0.102 1.234
1 13.809 ENTER 0.578 0.566 -0.102 1.234 -0.102 1.234
1 14.414 EXIT 0.574 0.547 -0.102 1.234 -0.102 1.234
1 15.532 ENTER 0.568 0.575 -0.102 1.234 -0.102 1.234
1 16.306 EXIT 0.568 0.555 -0.102 1.234 -0.102 1.234
1 17.074 ENTER 0.565 0.57 -0.102 1.234 -0.102 1.234
1 17.397 EXIT 0.566 0.56 -0.102 1.234 -0.102 1.234
1 18.246 ENTER 0.552 0.584 -0.102 1.234 -0.102 1.234
1 18.588 EXIT 0.555 0.573 -0.102 1.234 -0.102 1.234
1 19.426 ENTER 0.56 0.583 -0.102 1.234 -0.102 1.234
1 19.742 EXIT 0.554 0.568 -0.102 1.234 -0.102 1.234
1 20.737 ENTER 0.55 0.59 -0.102 1.234 -0.102 1.234
1 21.072 EXIT 0.551 0.58 -0.102 1.234 -0.102 1.234
