ID TIME n private balances
4 1787161712.167 0 {} {}
4 1787161712.167 0 {} {}
4 1787161712.167 1 None {'4': 0}
4 1787161712.167 2 None {'4': 0, '5': 0}
4 1787161712.167 3 None {'4': 0, '5': 0}
4 1787161712.167 4 None {'4': 0, '5': 0}
4 1787161712.167 5 None {'4': 0, '5': 0, '2': 0}
4 1787161712.167 6 None {'4': 0, '5': 0, '2': 0}
4 1787161712.168 7 None {'4': 0, '5': 0, '2': 0}
4 1787161712.168 8 None {'4': 0, '5': 0, '2': 0}
4 1787161712.168 9 None {'4': 0, '5': 0, '2': 0, '1': 0}
4 1787161712.168 10 None {'4': 0, '5': 0, '2': 0, '1': 0}
4 1787161712.168 11 None {'4': 0, '5': 0, '2': 0, '1': 0}
4 1787161712.168 12 None {'4': 0, '5': 0, '2': 0, '1': 0}
4 1787161712.168 13 None {'4': 0, '5': 0, '2': 0, '1': 0}
4 1787161712.168 14 None {'4': 0, '5': 0, '2': 0, '1': 0}
4 1787161712.168 15 None {'4': 0, '5': 0, '2': 0, '1': 0}
