ID TIME n private balances
1 1787162809.69 0 {} {}
1 1787162809.69 0 None {}
1 1787162809.69 1 None {'9': 0}
1 1787162809.69 2 None {'9': 0, '4': 0}
1 1787162809.691 3 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 4 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 5 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 6 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 7 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 8 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 9 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 10 None {'9': 0, '4': 0, '1': 0}
1 1787162809.691 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
1 1787162809.691 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
1 1787162809.691 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
1 1787162809.691 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
1 1787162809.691 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
1 1787162809.691 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
1 1787162809.691 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
1 1787162809.691 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
