ID TIME EVENT X Y XMIN XMAX YMIN YMAX
2 0.013 ENTER 1.35 1.567 -0.175 2.138 -0.175 2.138
2 10.346 EXIT 1.054 0.908 -0.175 2.138 -0.175 2.138
2 11.249 ENTER 1.057 0.908 -0.175 2.138 -0.175 2.138
2 16.806 EXIT 1.02 0.938 -0.175 2.138 -0.175 2.138
2 18.471 ENTER 1.031 0.937 -0.175 2.138 -0.175 2.138
2 25.873 EXIT 0.994 0.966 -0.175 2.138 -0.175 2.138
2 27.778 ENTER 1.005 0.962 -0.175 2.138 -0.175 2.138
2 36.258 EXIT 0.966 0.993 -0.175 2.138 -0.175 2.138
2 38.35 ENTER 0.975 0.988 -0.175 2.138 -0.175 2.138
2 48.33 EXIT 0.933 1.022 -0.175 2.138 -0.175 2.138
2 50.371 ENTER 0.95 1.02 -0.175 2.138 -0.175 2.138
2 61.417 EXIT 0.903 1.059 -0.175 2.138 -0.175 2.138
2 63.017 ENTER 0.913 1.062 -0.175 2.138 -0.175 2.138
