ID TIME n private balances
4 1786984398.657 0 {} {}
4 1786984398.657 3 {} {'4': 0, '0': 0, '3': 0, '2': 0}
4 1786984398.658 7 None {'4': 3, '0': 0, '3': 0, '2': 0, '1': 0}
4 1786984398.658 10 None {'4': 3, '0': 0, '3': 0, '2': 0, '1': 3}
4 1786984398.658 13 None {'4': 3, '0': 0, '3': 0, '2': 0, '1': 5}
4 1786984398.658 16 None {'4': 3, '0': 0, '3': 0, '2': 0, '1': 7}
4 1786984398.658 18 None {'4': 3, '0': 0, '3': 0, '2': 0, '1': 9}
4 1786984398.658 20 None {'4': 3, '0': 0, '3': 1, '2': 0, '1': 9}
4 1786984398.658 23 None {'4': 3, '0': 0, '3': 2, '2': 0, '1': 9}
4 1786984398.658 36 None {'4': 3, '0': 0, '3': 2, '2': 0, '1': 11}
