ID TIME n private balances
10 1787163224.119 0 {} {}
10 1787163224.119 0 None {}
10 1787163224.119 1 None {'6': 0}
10 1787163224.119 2 None {'6': 0, '5': 0}
10 1787163224.12 3 None {'6': 0, '5': 0}
10 1787163224.12 4 None {'6': 0, '5': 0, '8': 0}
10 1787163224.12 5 None {'6': 0, '5': 0, '8': 0, '10': 0}
10 1787163224.12 6 None {'6': 0, '5': 0, '8': 0, '10': 0}
10 1787163224.12 7 None {'6': 0, '5': 0, '8': 0, '10': 0}
10 1787163224.12 8 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.12 9 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.12 10 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.12 11 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.12 12 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.12 13 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.12 14 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.121 15 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0}
10 1787163224.121 16 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0}
10 1787163224.121 17 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0}
10 1787163224.121 18 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0}
10 1787163224.121 19 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0, '3': 0}
10 1787163224.121 20 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0, '3': 0}
10 1787163224.121 21 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0, '3': 0, '7': 0}
10 1787163224.121 22 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0, '3': 0, '7': 0, '4': 0}
10 1787163224.121 23 None {'6': 0, '5': 0, '8': 0, '10': 0, '1': 0, '2': 0, '3': 0, '7': 0, '4': 0}
