ID TIME n private balances
3 1787161049.989 0 {} {}
3 1787161049.989 0 None {}
3 1787161049.989 1 None {'2': 0}
3 1787161049.989 2 None {'2': 0, '5': 0}
3 1787161049.989 3 None {'2': 0, '5': 0}
3 1787161049.989 4 None {'2': 0, '5': 0}
3 1787161049.989 5 None {'2': 0, '5': 0, '3': 0}
3 1787161049.989 6 None {'2': 0, '5': 0, '3': 0}
3 1787161049.989 7 None {'2': 0, '5': 0, '3': 0}
3 1787161049.989 8 None {'2': 0, '5': 0, '3': 0}
3 1787161049.989 9 None {'2': 0, '5': 0, '3': 0}
3 1787161049.989 10 None {'2': 0, '5': 0, '3': 0}
3 1787161049.989 11 None {'2': 0, '5': 0, '3': 0}
3 1787161049.989 12 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 13 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 14 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 15 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 16 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 17 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 18 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 19 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 20 None {'2': 0, '5': 0, '3': 0, '1': 0}
3 1787161049.989 21 None {'2': 0, '5': 0, '3': 0, '1': 0}
