ID TIME n private balances
1 1786984378.485 0 {} {}
1 1786984378.485 3 None {'2': 0, '0': 0, '4': 0, '3': 0}
1 1786984378.485 4 None {'2': 3, '0': 0, '4': 0, '3': 0}
1 1786984378.485 5 None {'2': 3, '0': 0, '4': 0, '3': 0}
1 1786984378.485 10 None {'2': 3, '0': 0, '4': 0, '3': 0}
1 1786984378.485 14 None {'2': 3, '0': 0, '4': 4, '3': 0}
1 1786984378.485 15 None {'2': 3, '0': 0, '4': 7, '3': 0}
1 1786984378.485 20 None {'2': 3, '0': 0, '4': 7, '3': 0}
1 1786984378.485 23 None {'2': 3, '0': 0, '4': 11, '3': 0}
1 1786984378.485 28 None {'2': 3, '0': 0, '4': 11, '3': 2, '1': 0}
1 1786984378.485 32 None {'2': 3, '0': 0, '4': 11, '3': 2, '1': 4}
