ID TIME n private balances
2 1786985427.541 0 {} {}
2 1786985427.541 3 {} {'2': 0, '0': 0, '1': 0, '3': 0}
2 1786985427.541 6 None {'2': 3, '0': 0, '1': 0, '3': 0}
2 1786985427.541 9 None {'2': 3, '0': 0, '1': 2, '3': 0}
2 1786985427.541 10 None {'2': 5, '0': 0, '1': 2, '3': 0}
2 1786985427.541 13 None {'2': 5, '0': 0, '1': 2, '3': 0}
2 1786985427.541 16 None {'2': 7, '0': 0, '1': 2, '3': 0}
2 1786985427.541 19 None {'2': 7, '0': 0, '1': 4, '3': 0}
