ID TIME n private balances
3 1786984408.116 0 {} {}
3 1786984408.116 0 None {}
3 1786984408.116 1 None {'1': 0}
3 1786984408.116 3 None {'1': 0, '0': 0}
3 1786984408.117 4 None {'1': 1, '0': 0}
3 1786984408.117 5 None {'1': 1, '0': 0}
3 1786984408.117 15 None {'1': 1, '0': 0, '4': 0, '3': 0, '2': 0}
3 1786984408.117 18 None {'1': 1, '0': 0, '4': 9, '3': 0, '2': 0}
3 1786984408.117 24 None {'1': 3, '0': 0, '4': 9, '3': 0, '2': 0}
3 1786984408.117 26 None {'1': 3, '0': 0, '4': 9, '3': 5, '2': 0}
