ID TIME n private balances
5 1787161182.987 0 {} {}
5 1787161182.987 0 None {}
5 1787161182.987 1 None {'3': 0}
5 1787161182.987 2 None {'3': 0}
5 1787161182.988 3 None {'3': 0, '2': 0}
5 1787161182.988 4 None {'3': 0, '2': 0, '5': 0}
5 1787161182.988 5 None {'3': 0, '2': 0, '5': 0}
5 1787161182.988 6 None {'3': 0, '2': 0, '5': 0}
5 1787161182.988 7 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.988 8 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.988 9 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.988 10 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.988 11 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.988 12 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.988 13 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.988 14 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.989 15 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.989 16 None {'3': 0, '2': 0, '5': 0, '4': 0}
5 1787161182.989 17 None {'3': 0, '2': 0, '5': 0, '4': 0}
