ID TIME n private balances
1 1787160855.835 0 {} {}
1 1787160855.835 0 None {}
1 1787160855.835 1 None {'5': 0}
1 1787160855.835 2 None {'5': 0, '4': 0}
1 1787160855.835 3 None {'5': 0, '4': 0}
1 1787160855.835 4 None {'5': 0, '4': 0}
1 1787160855.835 5 None {'5': 0, '4': 0, '2': 0}
1 1787160855.835 6 None {'5': 0, '4': 0, '2': 0}
1 1787160855.835 7 None {'5': 0, '4': 0, '2': 0}
1 1787160855.835 8 None {'5': 0, '4': 0, '2': 0}
1 1787160855.835 9 None {'5': 0, '4': 0, '2': 0}
1 1787160855.835 10 None {'5': 0, '4': 0, '2': 0}
1 1787160855.835 11 None {'5': 0, '4': 0, '2': 0}
1 1787160855.835 12 None {'5': 0, '4': 0, '2': 0, '1': 0}
1 1787160855.835 13 None {'5': 0, '4': 0, '2': 0, '1': 0}
1 1787160855.835 14 None {'5': 0, '4': 0, '2': 0, '1': 0}
1 1787160855.835 15 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
1 1787160855.835 16 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
1 1787160855.835 17 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
