ID TIME n private balances
11 1786980556.027 0 {} {}
11 1786980556.027 1 None {'1': 0, '0': 0}
11 1786980556.027 7 None {'1': 1, '0': 0, '2': 0, '3': 0, '4': 0}
11 1786980556.027 9 None {'1': 1, '0': 0, '2': 5, '3': 0, '4': 0}
11 1786980556.027 13 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 0}
11 1786980556.027 18 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 3, '5': 0, '8': 0, '12': 0, '14': 0}
11 1786980556.027 25 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 3, '5': 4, '8': 0, '12': 0, '14': 0, '11': 0}
11 1786980556.027 36 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 3, '5': 4, '8': 6, '12': 0, '14': 0, '11': 0, '15': 0, '7': 0, '16': 0, '10': 0, '6': 0}
11 1786980556.027 51 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 3, '5': 4, '8': 6, '12': 0, '14': 10, '11': 0, '15': 0, '7': 0, '16': 0, '10': 0, '6': 0, '9': 0}
11 1786980556.027 58 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 3, '5': 4, '8': 6, '12': 0, '14': 10, '11': 0, '15': 0, '7': 0, '16': 0, '10': 14, '6': 0, '9': 0}
11 1786980556.027 64 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 3, '5': 4, '8': 6, '12': 0, '14': 10, '11': 0, '15': 0, '7': 0, '16': 0, '10': 14, '6': 6, '9': 0, '13': 0}
11 1786980556.027 73 None {'1': 1, '0': 0, '2': 5, '3': 1, '4': 3, '5': 4, '8': 6, '12': 5, '14': 10, '11': 0, '15': 0, '7': 0, '16': 0, '10': 14, '6': 6, '9': 0, '13': 0}
