ID TIME n private balances
1 1787134409.727 0 {} {}
1 1787134409.727 0 {} {}
1 1787134409.727 1 None {'1': 0}
1 1787134409.727 2 None {'1': 0, '2': 0}
1 1787134409.727 3 None {'1': 0, '2': 0, '3': 0}
1 1787134409.727 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
1 1787134409.727 5 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.727 6 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.727 7 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.727 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.727 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.728 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 49 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 50 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.729 51 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 52 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 53 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 54 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 55 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 56 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 57 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 58 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 59 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 60 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 61 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 62 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 63 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 64 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 65 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 66 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
