ID TIME ROBOT_ID QLTY QTTY TOTAL
0 8.358 4 blue 8
0 9.614 10 blue 24
0 10.996 3 blue 32
0 13.182 2 blue 40
0 14.231 9 blue 48
0 16.421 11 blue 56
0 19.266 8 blue 80
0 22.061 10 blue 96
0 23.928 3 blue 112
0 27.481 2 blue 116
0 31.369 1 blue 140
0 34.428 15 blue 172
0 35.806 13 blue 180
0 39.331 9 blue 195
0 40.341 14 blue 203
0 42.487 4 blue 216
0 43.561 11 blue 240
0 46.085 2 blue 248
0 50.207 15 blue 264
0 51.374 13 blue 272
0 53.189 3 blue 280
0 55.606 10 blue 288
0 57.53 8 blue 301
0 59.663 7 blue 317
0 61.19 6 blue 325
0 63.805 1 blue 338
0 65.02 15 blue 352
0 66.543 13 blue 368
0 69.999 2 blue 376
0 72.707 10 blue 389
0 74.62 11 blue 397
0 75.75 6 blue 405
0 79.469 12 blue 413
0 82.127 4 blue 444
0 88.833 2 blue 468
0 90.188 15 blue 492
0 92.368 5 blue 505
0 93.897 10 blue 513
0 98.955 3 blue 521
0 100.748 8 blue 529
0 102.748 9 blue 545
0 103.777 2 blue 561
0 105.652 12 blue 569
0 107.078 7 blue 577
0 109.484 4 blue 585
0 111.136 13 blue 600
0 112.205 10 blue 608
0 114.791 1 blue 616
0 115.971 11 blue 624
0 117.598 6 blue 632
0 119.919 8 blue 656
0 122.173 3 blue 672
0 129.714 11 blue 695
0 131.327 9 blue 703
0 134.85 10 blue 711
0 136.018 14 blue 719
0 137.198 4 blue 727
0 139.264 5 blue 728
0 140.289 1 blue 736
0 142.366 8 blue 749
0 144.045 6 blue 757
0 147.555 10 blue 773
0 149.88 14 blue 781
0 151.08 9 blue 805
0 158.751 2 blue 821
0 160.34 6 blue 834
0 163.213 14 blue 842
0 165.214 11 blue 850
0 169.146 12 blue 858
0 170.749 4 blue 866
0 172.295 3 blue 874
0 173.602 2 blue 882
0 179.101 13 blue 897
0 181.291 14 blue 905
0 182.69 5 blue 918
0 183.884 15 blue 935
0 186.204 11 blue 943
0 189.372 3 blue 951
0 190.821 10 blue 959
0 197.313 6 blue 967
0 198.319 14 blue 975
0 199.948 2 blue 988
0 202.442 11 blue 1003
0 203.749 15 blue 1011
0 205.563 3 blue 1033
0 213.335 10 blue 1035
0 215.395 14 blue 1043
0 216.871 1 blue 1051
0 220.113 6 blue 1059
0 223.209 9 blue 1075
0 226.305 15 blue 1083
