ID TIME n private balances
5 1787133605.884 0 {} {}
5 1787133605.884 0 None {}
5 1787133605.884 1 None {'1': 0}
5 1787133605.884 2 None {'1': 0, '3': 0}
5 1787133605.884 3 None {'1': 0, '3': 0, '4': 0}
5 1787133605.884 4 None {'1': 0, '3': 0, '4': 0, '5': 0}
5 1787133605.884 5 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.884 6 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 7 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 8 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 9 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 10 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 11 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 12 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 13 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 14 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 15 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.885 16 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 17 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 18 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 19 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 20 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 21 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 22 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 23 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 24 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.886 25 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 26 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 27 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 28 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 29 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 30 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 31 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 32 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 33 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.887 34 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 35 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 36 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 37 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 38 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 39 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 40 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 41 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.888 42 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.889 43 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.889 44 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.889 45 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.889 46 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.889 47 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.889 48 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.889 49 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
