ID TIME n private balances
1 1786976470.033 0 {} {}
1 1786976470.033 0 {} {}
1 1786976470.033 3 None {'2': 0, '0': 0, '4': 0, '1': 0}
1 1786976470.033 6 None {'2': 2, '0': 0, '4': 0, '1': 0}
1 1786976470.033 9 None {'2': 2, '0': 0, '4': 2, '1': 0}
