ID TIME n private balances
3 1787161608.546 0 {} {}
3 1787161608.546 0 {} {}
3 1787161608.546 1 None {'3': 0}
3 1787161608.546 2 None {'3': 0, '5': 0}
3 1787161608.547 3 None {'3': 0, '5': 0}
3 1787161608.547 4 None {'3': 0, '5': 0, '2': 0}
3 1787161608.547 5 None {'3': 0, '5': 0, '2': 0, '4': 0}
3 1787161608.547 6 None {'3': 0, '5': 0, '2': 0, '4': 0}
3 1787161608.547 7 None {'3': 0, '5': 0, '2': 0, '4': 0}
3 1787161608.547 8 None {'3': 0, '5': 0, '2': 0, '4': 0}
