ID TIME n private balances
4 1787162809.675 0 {} {}
4 1787162809.675 0 None {}
4 1787162809.675 1 None {'9': 0}
4 1787162809.675 2 None {'9': 0, '4': 0}
4 1787162809.675 3 None {'9': 0, '4': 0, '1': 0}
4 1787162809.675 4 None {'9': 0, '4': 0, '1': 0}
4 1787162809.675 5 None {'9': 0, '4': 0, '1': 0}
4 1787162809.675 6 None {'9': 0, '4': 0, '1': 0}
4 1787162809.675 7 None {'9': 0, '4': 0, '1': 0}
4 1787162809.675 8 None {'9': 0, '4': 0, '1': 0}
4 1787162809.675 9 None {'9': 0, '4': 0, '1': 0}
4 1787162809.676 10 None {'9': 0, '4': 0, '1': 0}
4 1787162809.676 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
4 1787162809.676 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
4 1787162809.676 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
4 1787162809.676 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
4 1787162809.676 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
4 1787162809.676 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
4 1787162809.676 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
4 1787162809.676 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
