ID TIME n private balances
1 1786984437.978 0 {} {}
1 1786984437.978 4 {} {'1': 0, '0': 0, '4': 0, '3': 0, '2': 0}
1 1786984437.978 7 None {'1': 4, '0': 0, '4': 0, '3': 0, '2': 0}
1 1786984437.978 14 None {'1': 4, '0': 0, '4': 2, '3': 0, '2': 0}
1 1786984437.978 18 None {'1': 4, '0': 0, '4': 8, '3': 0, '2': 0}
1 1786984437.978 22 None {'1': 7, '0': 0, '4': 8, '3': 0, '2': 0}
1 1786984437.978 27 None {'1': 7, '0': 0, '4': 11, '3': 0, '2': 0}
1 1786984437.978 28 None {'1': 11, '0': 0, '4': 11, '3': 0, '2': 0}
1 1786984437.978 29 None {'1': 11, '0': 0, '4': 11, '3': 0, '2': 0}
