ID TIME n private balances
1 1786984368.696 0 {} {}
1 1786984368.696 3 {} {'1': 0, '0': 0, '2': 0, '4': 0}
1 1786984368.696 6 None {'1': 3, '0': 0, '2': 0, '4': 0}
1 1786984368.696 7 None {'1': 3, '0': 0, '2': 2, '4': 0}
1 1786984368.696 8 None {'1': 3, '0': 0, '2': 2, '4': 0}
1 1786984368.696 9 None {'1': 3, '0': 0, '2': 2, '4': 0}
1 1786984368.696 20 None {'1': 3, '0': 0, '2': 2, '4': 0, '3': 0}
1 1786984368.696 24 None {'1': 3, '0': 0, '2': 12, '4': 0, '3': 0}
