ID TIME n private balances
1 1786985427.543 0 {} {}
1 1786985427.544 3 None {'2': 0, '0': 0, '1': 0, '3': 0}
1 1786985427.544 6 None {'2': 3, '0': 0, '1': 0, '3': 0}
1 1786985427.544 9 None {'2': 3, '0': 0, '1': 2, '3': 0}
1 1786985427.544 10 None {'2': 5, '0': 0, '1': 2, '3': 0}
1 1786985427.544 13 None {'2': 5, '0': 0, '1': 2, '3': 0}
1 1786985427.544 16 None {'2': 7, '0': 0, '1': 2, '3': 0}
1 1786985427.544 19 None {'2': 7, '0': 0, '1': 4, '3': 0}
