ID TIME n private balances
5 1786769430.054 0 {} {}
5 1786769430.054 1 None {'1': 0, '0': 0}
5 1786769430.054 8 None {'1': 1, '0': 0, '2': 0, '5': 0, '3': 0, '4': 0}
5 1786769430.054 13 None {'1': 1, '0': 0, '2': 6, '5': 0, '3': 0, '4': 0}
5 1786769430.054 16 None {'1': 1, '0': 0, '2': 6, '5': 0, '3': 4, '4': 0}
5 1786769430.054 22 None {'1': 1, '0': 0, '2': 6, '5': 0, '3': 4, '4': 2}
5 1786769430.054 29 None {'1': 6, '0': 0, '2': 6, '5': 0, '3': 4, '4': 2}
5 1786769430.054 32 None {'1': 6, '0': 0, '2': 6, '5': 6, '3': 4, '4': 2}
5 1786769430.055 38 None {'1': 6, '0': 0, '2': 6, '5': 6, '3': 4, '4': 4}
5 1786769430.055 42 None {'1': 6, '0': 0, '2': 6, '5': 6, '3': 9, '4': 4}
5 1786769430.055 44 None {'1': 6, '0': 0, '2': 6, '5': 9, '3': 9, '4': 4}
5 1786769430.055 49 None {'1': 7, '0': 0, '2': 6, '5': 9, '3': 9, '4': 4}
5 1786769430.055 53 None {'1': 7, '0': 0, '2': 10, '5': 9, '3': 9, '4': 4}
5 1786769430.055 57 None {'1': 7, '0': 0, '2': 10, '5': 9, '3': 12, '4': 4}
5 1786769430.055 62 None {'1': 10, '0': 0, '2': 10, '5': 9, '3': 12, '4': 4}
5 1786769430.055 66 None {'1': 10, '0': 0, '2': 10, '5': 9, '3': 12, '4': 8}
5 1786769430.055 69 None {'1': 10, '0': 0, '2': 10, '5': 12, '3': 12, '4': 8}
5 1786769430.056 74 None {'1': 12, '0': 0, '2': 10, '5': 12, '3': 12, '4': 8}
5 1786769430.056 79 None {'1': 12, '0': 0, '2': 10, '5': 12, '3': 16, '4': 8}
5 1786769430.056 82 None {'1': 12, '0': 0, '2': 10, '5': 16, '3': 16, '4': 8}
5 1786769430.056 85 None {'1': 12, '0': 0, '2': 12, '5': 16, '3': 16, '4': 8}
5 1786769430.056 90 None {'1': 14, '0': 0, '2': 12, '5': 16, '3': 16, '4': 8}
5 1786769430.056 93 None {'1': 14, '0': 0, '2': 12, '5': 16, '3': 16, '4': 12}
5 1786769430.056 95 None {'1': 14, '0': 0, '2': 14, '5': 16, '3': 16, '4': 12}
5 1786769430.056 100 None {'1': 14, '0': 0, '2': 14, '5': 16, '3': 17, '4': 12}
5 1786769430.056 102 None {'1': 14, '0': 0, '2': 14, '5': 16, '3': 17, '4': 16}
5 1786769430.057 106 None {'1': 14, '0': 0, '2': 14, '5': 17, '3': 17, '4': 16}
5 1786769430.057 110 None {'1': 17, '0': 0, '2': 14, '5': 17, '3': 17, '4': 16}
5 1786769430.057 116 None {'1': 17, '0': 0, '2': 14, '5': 17, '3': 20, '4': 16}
5 1786769430.057 120 None {'1': 17, '0': 0, '2': 14, '5': 17, '3': 20, '4': 21}
5 1786769430.057 124 None {'1': 20, '0': 0, '2': 14, '5': 17, '3': 20, '4': 21}
5 1786769430.057 130 None {'1': 20, '0': 0, '2': 17, '5': 17, '3': 20, '4': 21}
5 1786769430.057 133 None {'1': 20, '0': 0, '2': 17, '5': 17, '3': 20, '4': 26}
5 1786769430.057 138 None {'1': 20, '0': 0, '2': 17, '5': 17, '3': 22, '4': 26}
5 1786769430.057 140 None {'1': 20, '0': 0, '2': 21, '5': 17, '3': 22, '4': 26}
5 1786769430.058 149 None {'1': 20, '0': 0, '2': 21, '5': 17, '3': 22, '4': 27}
5 1786769430.058 153 None {'1': 28, '0': 0, '2': 21, '5': 17, '3': 22, '4': 27}
5 1786769430.058 157 None {'1': 28, '0': 0, '2': 24, '5': 17, '3': 22, '4': 27}
5 1786769430.058 160 None {'1': 28, '0': 0, '2': 24, '5': 17, '3': 25, '4': 27}
5 1786769430.058 165 None {'1': 28, '0': 0, '2': 24, '5': 17, '3': 25, '4': 29}
5 1786769430.058 169 None {'1': 28, '0': 0, '2': 28, '5': 17, '3': 25, '4': 29}
5 1786769430.058 173 None {'1': 31, '0': 0, '2': 28, '5': 17, '3': 25, '4': 29}
5 1786769430.058 175 None {'1': 31, '0': 0, '2': 28, '5': 17, '3': 28, '4': 29}
5 1786769430.058 179 None {'1': 31, '0': 0, '2': 29, '5': 17, '3': 28, '4': 29}
5 1786769430.059 188 None {'1': 34, '0': 0, '2': 29, '5': 17, '3': 28, '4': 29}
5 1786769430.059 192 None {'1': 34, '0': 0, '2': 29, '5': 17, '3': 28, '4': 37}
5 1786769430.059 196 None {'1': 34, '0': 0, '2': 29, '5': 17, '3': 31, '4': 37}
5 1786769430.059 198 None {'1': 37, '0': 0, '2': 29, '5': 17, '3': 31, '4': 37}
5 1786769430.059 203 None {'1': 37, '0': 0, '2': 30, '5': 17, '3': 31, '4': 37}
5 1786769430.059 206 None {'1': 37, '0': 0, '2': 30, '5': 21, '3': 31, '4': 37}
5 1786769430.059 212 None {'1': 39, '0': 0, '2': 30, '5': 21, '3': 31, '4': 37}
5 1786769430.059 218 None {'1': 39, '0': 0, '2': 35, '5': 21, '3': 31, '4': 37}
5 1786769430.059 221 None {'1': 39, '0': 0, '2': 35, '5': 21, '3': 31, '4': 42}
5 1786769430.06 224 None {'1': 39, '0': 0, '2': 35, '5': 21, '3': 33, '4': 42}
5 1786769430.06 229 None {'1': 39, '0': 0, '2': 35, '5': 23, '3': 33, '4': 42}
5 1786769430.06 233 None {'1': 39, '0': 0, '2': 35, '5': 23, '3': 33, '4': 46}
5 1786769430.06 238 None {'1': 42, '0': 0, '2': 35, '5': 23, '3': 33, '4': 46}
5 1786769430.06 241 None {'1': 42, '0': 0, '2': 39, '5': 23, '3': 33, '4': 46}
5 1786769430.06 246 None {'1': 42, '0': 0, '2': 39, '5': 23, '3': 35, '4': 46}
5 1786769430.06 252 None {'1': 42, '0': 0, '2': 39, '5': 27, '3': 35, '4': 46}
5 1786769430.06 257 None {'1': 42, '0': 0, '2': 44, '5': 27, '3': 35, '4': 46}
5 1786769430.061 263 None {'1': 46, '0': 0, '2': 44, '5': 27, '3': 35, '4': 46}
5 1786769430.061 265 None {'1': 46, '0': 0, '2': 44, '5': 27, '3': 35, '4': 51}
5 1786769430.061 270 None {'1': 46, '0': 0, '2': 45, '5': 27, '3': 35, '4': 51}
5 1786769430.061 272 None {'1': 46, '0': 0, '2': 45, '5': 27, '3': 39, '4': 51}
5 1786769430.061 277 None {'1': 46, '0': 0, '2': 45, '5': 27, '3': 39, '4': 52}
5 1786769430.061 280 None {'1': 46, '0': 0, '2': 49, '5': 27, '3': 39, '4': 52}
5 1786769430.061 284 None {'1': 48, '0': 0, '2': 49, '5': 27, '3': 39, '4': 52}
