ID TIME ROBOT_ID QLTY QTTY TOTAL
0 8.333 12 blue 5
0 9.495 16 blue 13
0 11.123 14 blue 21
0 15.23 23 blue 37
0 16.278 5 blue 61
0 17.374 9 blue 69
0 18.701 15 blue 77
0 19.89 21 blue 85
0 21.249 25 blue 101
0 22.687 24 blue 117
0 24.044 17 blue 133
0 25.215 22 blue 141
0 26.867 9 blue 162
0 27.892 15 blue 170
0 28.987 23 blue 200
0 30.088 19 blue 208
0 32.913 18 blue 237
0 34.603 25 blue 253
0 35.618 20 blue 291
0 36.941 15 blue 304
0 39.657 10 blue 320
0 41.219 19 blue 328
0 42.223 8 blue 341
0 44.692 5 blue 365
0 45.904 7 blue 386
0 47.234 6 blue 394
0 48.255 2 blue 418
0 50.066 9 blue 442
0 51.38 19 blue 468
0 52.517 4 blue 484
0 55.446 20 blue 500
0 57.468 14 blue 516
0 58.881 3 blue 540
0 60.587 17 blue 563
0 62.512 25 blue 577
0 63.887 5 blue 585
0 65.59 10 blue 617
0 67.056 1 blue 633
0 69.066 12 blue 648
0 71.313 9 blue 672
0 72.835 21 blue 696
0 76.347 7 blue 725
0 79.126 5 blue 749
0 82.385 20 blue 766
0 83.694 21 blue 774
0 84.851 13 blue 790
0 86.521 2 blue 814
0 87.957 25 blue 830
0 89.548 8 blue 846
0 92.177 12 blue 869
0 93.471 14 blue 893
0 95.017 15 blue 901
0 96.175 13 blue 907
0 97.301 18 blue 923
0 101.743 24 blue 939
0 102.944 2 blue 947
0 104.738 22 blue 955
0 106.166 4 blue 979
0 107.69 6 blue 1019
0 109.641 19 blue 1043
0 111.977 11 blue 1059
0 114.458 1 blue 1075
0 115.856 16 blue 1091
0 118.265 13 blue 1107
0 120.226 17 blue 1123
0 121.464 10 blue 1139
0 122.793 14 blue 1155
0 124.26 23 blue 1171
0 126.086 24 blue 1192
0 127.997 9 blue 1200
0 129.369 7 blue 1216
0 130.691 15 blue 1224
0 132.167 19 blue 1248
0 134.218 18 blue 1264
0 135.495 13 blue 1277
0 138.413 12 blue 1285
0 139.945 23 blue 1291
0 142.529 2 blue 1314
0 143.785 15 blue 1346
0 146.176 17 blue 1352
0 148.421 22 blue 1365
0 150.285 3 blue 1381
0 151.471 18 blue 1397
0 152.616 1 blue 1413
0 155.282 15 blue 1421
0 156.643 13 blue 1429
0 158.032 11 blue 1437
0 159.256 24 blue 1450
