ID TIME n private balances
3 1787160921.174 0 {} {}
3 1787160921.174 0 {} {}
3 1787160921.174 1 None {'3': 0}
3 1787160921.174 2 None {'3': 0, '5': 0}
3 1787160921.174 3 None {'3': 0, '5': 0, '1': 0}
3 1787160921.174 4 None {'3': 0, '5': 0, '1': 0}
3 1787160921.174 5 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.174 6 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.174 7 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.174 8 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.174 9 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.175 10 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.175 11 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.175 12 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.175 13 None {'3': 0, '5': 0, '1': 0, '4': 0}
3 1787160921.175 14 None {'3': 0, '5': 0, '1': 0, '4': 0}
