ID TIME n private balances
5 1787161116.643 0 {} {}
5 1787161116.643 0 None {}
5 1787161116.643 1 None {'3': 0}
5 1787161116.644 2 None {'3': 0, '5': 0}
5 1787161116.644 3 None {'3': 0, '5': 0}
5 1787161116.644 4 None {'3': 0, '5': 0, '1': 0}
5 1787161116.644 5 None {'3': 0, '5': 0, '1': 0}
5 1787161116.644 6 None {'3': 0, '5': 0, '1': 0}
5 1787161116.644 7 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.644 8 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.644 9 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.644 10 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.644 11 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.644 12 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.645 13 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.645 14 None {'3': 0, '5': 0, '1': 0, '2': 0}
5 1787161116.645 15 None {'3': 0, '5': 0, '1': 0, '2': 0}
