ID TIME n private balances
2 1787133955.57 0 {} {}
2 1787133955.57 0 None {}
2 1787133955.57 1 None {'1': 0}
2 1787133955.57 2 None {'1': 0, '3': 0}
2 1787133955.57 3 None {'1': 0, '3': 0, '4': 0}
2 1787133955.57 4 None {'1': 0, '3': 0, '4': 0, '2': 0}
2 1787133955.57 5 None {'1': 0, '3': 0, '4': 0, '2': 0}
2 1787133955.571 6 None {'1': 0, '3': 0, '4': 0, '2': 0}
2 1787133955.571 7 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 8 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 9 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 10 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 11 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 12 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 13 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 14 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 15 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 16 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 17 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 18 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 19 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 20 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 21 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 22 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 23 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 24 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 25 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 26 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 27 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 28 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
2 1787133955.571 29 None {'1': 0, '3': 0, '4': 0, '2': 0, '5': 0}
