ID TIME n private balances
5 1787161446.443 0 {} {}
5 1787161446.443 0 None {}
5 1787161446.443 1 None {'4': 0}
5 1787161446.443 2 None {'4': 0, '5': 0}
5 1787161446.443 3 None {'4': 0, '5': 0, '1': 0}
5 1787161446.444 4 None {'4': 0, '5': 0, '1': 0}
5 1787161446.444 5 None {'4': 0, '5': 0, '1': 0}
5 1787161446.444 6 None {'4': 0, '5': 0, '1': 0}
5 1787161446.444 7 None {'4': 0, '5': 0, '1': 0, '2': 0}
5 1787161446.444 8 None {'4': 0, '5': 0, '1': 0, '2': 0, '3': 0}
5 1787161446.444 9 None {'4': 0, '5': 0, '1': 0, '2': 0, '3': 0}
5 1787161446.444 10 None {'4': 0, '5': 0, '1': 0, '2': 0, '3': 0}
