ID TIME EVENT X Y XMIN XMAX YMIN YMAX
3 16.117 ENTER 0.785 0.819 -0.143 1.746 -0.143 1.746
3 19.009 EXIT 0.749 0.843 -0.143 1.746 -0.143 1.746
3 20.122 ENTER 0.773 0.835 -0.143 1.746 -0.143 1.746
3 21.145 EXIT 0.847 0.748 -0.143 1.746 -0.143 1.746
3 22.539 ENTER 0.758 0.854 -0.143 1.746 -0.143 1.746
3 23.731 EXIT 0.842 0.755 -0.143 1.746 -0.143 1.746
3 25.099 ENTER 0.753 0.855 -0.143 1.746 -0.143 1.746
3 26.067 EXIT 0.794 0.806 -0.143 1.746 -0.143 1.746
3 27.526 ENTER 0.767 0.842 -0.143 1.746 -0.143 1.746
3 28.924 EXIT 0.84 0.761 -0.143 1.746 -0.143 1.746
3 29.866 ENTER 0.79 0.815 -0.143 1.746 -0.143 1.746
