ID TIME n private balances
1 1786984772.316 0 {} {}
1 1786984772.316 2 {} {'1': 0, '0': 0, '2': 0}
1 1786984772.317 5 {} {'1': 2, '0': 0, '2': 0}
1 1786984772.317 8 {} {'1': 4, '0': 0, '2': 0}
1 1786984772.317 9 {} {'1': 6, '0': 0, '2': 0}
1 1786984772.317 12 None {'1': 6, '0': 0, '2': 0}
1 1786984772.317 15 None {'1': 6, '0': 0, '2': 2}
