ID TIME n private balances
3 1786984302.026 0 {} {}
3 1786984302.026 2 {} {'3': 0, '0': 0, '4': 0}
3 1786984302.026 3 {} {'3': 2, '0': 0, '4': 0}
3 1786984302.026 4 {} {'3': 2, '0': 0, '4': 0}
3 1786984302.027 5 {} {'3': 2, '0': 0, '4': 0}
3 1786984302.027 6 {} {'3': 2, '0': 0, '4': 0}
3 1786984302.027 7 {} {'3': 2, '0': 0, '4': 0}
3 1786984302.027 8 {} {'3': 2, '0': 0, '4': 0}
