ID TIME n private balances
2 1786984503.158 0 {} {}
2 1786984503.158 2 None {'1': 0, '0': 0, '2': 0}
2 1786984503.158 5 None {'1': 2, '0': 0, '2': 0}
2 1786984503.158 6 None {'1': 2, '0': 0, '2': 2}
2 1786984503.158 9 None {'1': 2, '0': 0, '2': 2}
