ID TIME 
0 0.011 
0 0.019 
0 0.023 
0 0.027 
0 0.031 
0 0.036 
0 0.04 
0 0.045 
0 0.049 
0 0.054 
0 0.065 
0 0.071 
0 0.076 
0 0.08 
0 0.085 
0 0.09 
0 0.095 
0 0.099 
0 0.104 
0 0.109 
0 0.117 
0 0.122 
0 0.167 
0 0.172 
0 0.178 
0 0.184 
0 0.19 
0 0.196 
0 0.203 
0 0.209 
0 0.217 
0 0.224 
0 0.231 
0 0.237 
0 0.243 
0 0.252 
0 0.258 
0 0.265 
0 0.271 
0 0.277 
0 0.285 
0 0.291 
0 0.298 
0 0.338 
0 0.344 
0 0.351 
0 0.358 
0 0.365 
0 0.371 
0 0.379 
0 0.387 
0 0.394 
0 0.402 
0 0.409 
0 0.416 
0 0.424 
0 0.432 
0 0.439 
0 0.446 
0 0.454 
0 0.463 
0 0.471 
0 0.478 
0 0.486 
0 0.522 
0 0.529 
0 0.537 
0 0.544 
0 0.552 
0 0.56 
0 0.573 
0 0.584 
0 0.597 
0 0.607 
0 0.62 
0 0.629 
0 0.639 
0 0.649 
0 0.66 
0 0.672 
0 0.685 
0 0.697 
0 0.709 
0 0.722 
0 0.735 
0 0.77 
0 0.781 
0 0.793 
0 0.806 
0 0.817 
0 0.828 
0 0.838 
0 0.847 
0 0.857 
0 0.867 
0 0.88 
0 0.892 
0 0.905 
0 0.917 
0 0.929 
0 0.943 
0 0.955 
0 0.967 
0 0.98 
0 0.992 
0 1.006 
0 1.038 
0 1.05 
0 1.062 
0 1.075 
0 1.092 
0 1.106 
0 1.12 
0 1.135 
0 1.149 
0 1.164 
0 1.18 
0 1.194 
0 1.206 
0 1.22 
0 1.234 
0 1.247 
0 1.261 
0 1.275 
0 1.289 
0 1.303 
0 1.317 
0 1.347 
0 1.361 
0 1.374 
0 1.389 
0 1.402 
0 1.416 
0 1.431 
0 1.445 
0 1.459 
0 1.472 
0 1.486 
0 1.5 
0 1.513 
0 1.527 
0 1.541 
0 1.556 
0 1.571 
0 1.586 
0 1.605 
0 1.622 
0 1.64 
0 1.671 
0 1.688 
0 1.707 
0 1.724 
0 1.742 
0 1.76 
0 1.779 
0 1.806 
0 1.823 
0 1.84 
0 1.859 
0 1.878 
0 1.898 
0 1.917 
0 1.935 
0 1.953 
0 1.97 
0 1.988 
0 2.006 
0 2.024 
0 2.042 
0 2.078 
0 2.099 
0 2.12 
0 2.14 
0 2.161 
0 2.183 
0 2.204 
0 2.225 
0 2.246 
0 2.267 
0 2.289 
0 2.311 
0 2.332 
0 2.353 
0 2.373 
0 2.396 
0 2.418 
0 2.436 
0 2.457 
0 2.479 
0 2.503 
0 2.568 
0 2.593 
0 2.619 
0 2.646 
0 2.674 
0 2.705 
0 2.736 
0 2.767 
0 2.798 
0 2.828 
0 2.86 
0 2.892 
0 2.923 
0 2.954 
0 2.984 
0 3.016 
0 3.048 
0 3.078 
0 3.109 
0 3.14 
0 3.182 
0 3.251 
0 3.284 
0 3.318 
0 3.352 
0 3.388 
0 3.422 
0 3.457 
0 3.493 
0 3.529 
