ID TIME n private balances
3 1787133570.274 0 {} {}
3 1787133570.274 0 None {}
3 1787133570.274 1 None {'1': 0}
3 1787133570.274 2 None {'1': 0, '2': 0}
3 1787133570.274 3 None {'1': 0, '2': 0, '4': 0}
3 1787133570.274 4 None {'1': 0, '2': 0, '4': 0, '5': 0}
3 1787133570.274 5 None {'1': 0, '2': 0, '4': 0, '5': 0}
3 1787133570.274 6 None {'1': 0, '2': 0, '4': 0, '5': 0}
3 1787133570.274 7 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 8 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 9 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 10 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 11 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 12 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 13 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 14 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 15 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 16 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 17 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 18 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 19 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 20 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 21 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 22 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 23 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 24 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 25 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 26 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 27 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.275 28 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 29 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 30 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 31 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 32 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 33 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 34 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 35 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 36 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 37 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 38 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 39 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 40 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 41 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 42 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 43 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 44 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 45 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 46 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 47 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 48 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.276 49 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 50 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 51 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 52 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 53 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 54 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 55 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 56 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 57 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 58 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 59 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 60 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 61 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 62 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 63 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 64 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 65 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 66 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 67 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 68 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 69 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
3 1787133570.277 70 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
