ID TIME n private balances
3 1787161446.45 0 {} {}
3 1787161446.45 0 None {}
3 1787161446.45 1 None {'4': 0}
3 1787161446.45 2 None {'4': 0, '5': 0}
3 1787161446.45 3 None {'4': 0, '5': 0, '1': 0}
3 1787161446.45 4 None {'4': 0, '5': 0, '1': 0}
3 1787161446.45 5 None {'4': 0, '5': 0, '1': 0}
3 1787161446.45 6 None {'4': 0, '5': 0, '1': 0}
3 1787161446.45 7 None {'4': 0, '5': 0, '1': 0, '2': 0}
3 1787161446.45 8 None {'4': 0, '5': 0, '1': 0, '2': 0, '3': 0}
3 1787161446.45 9 None {'4': 0, '5': 0, '1': 0, '2': 0, '3': 0}
3 1787161446.45 10 None {'4': 0, '5': 0, '1': 0, '2': 0, '3': 0}
