ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.342 4 blue 8
0 2.423 4 blue 40
0 3.461 4 blue 78
0 5.17 2 blue 100
0 6.187 5 blue 123
0 7.873 5 blue 147
0 9.359 4 blue 186
0 10.661 2 blue 194
0 12.016 2 blue 226
0 13.238 3 blue 263
0 14.577 4 blue 289
0 16.042 1 blue 303
0 17.322 2 blue 324
0 18.537 4 blue 340
0 20.147 4 blue 369
0 21.76 5 blue 401
0 22.857 1 blue 422
0 23.886 4 blue 438
0 24.961 3 blue 454
0 26.088 4 blue 475
0 27.142 3 blue 491
0 28.216 2 blue 509
0 29.523 1 blue 525
0 30.843 1 blue 564
