ID TIME EVENT X Y XMIN XMAX YMIN YMAX
7 0.953 ENTER 0.912 1.059 -0.175 2.138 -0.175 2.138
7 3.304 EXIT 1.01 0.946 -0.175 2.138 -0.175 2.138
7 3.584 ENTER 1.045 0.927 -0.175 2.138 -0.175 2.138
7 7.046 EXIT 1.034 0.925 -0.175 2.138 -0.175 2.138
7 8.6 ENTER 0.922 1.05 -0.175 2.138 -0.175 2.138
7 8.716 EXIT 0.981 0.98 -0.175 2.138 -0.175 2.138
7 9.362 ENTER 0.963 1.001 -0.175 2.138 -0.175 2.138
7 9.412 EXIT 0.959 0.994 -0.175 2.138 -0.175 2.138
7 9.888 ENTER 1.003 0.967 -0.175 2.138 -0.175 2.138
7 21.337 EXIT 1.024 0.936 -0.175 2.138 -0.175 2.138
7 21.979 ENTER 0.936 1.038 -0.175 2.138 -0.175 2.138
