ID TIME ROBOT_ID QLTY QTTY TOTAL
0 5.975 4 blue 8
0 7.203 8 blue 31
0 8.239 9 blue 71
0 9.284 14 blue 95
0 11.102 4 blue 103
0 12.174 8 blue 119
0 13.336 1 blue 164
0 14.699 12 blue 172
0 16.192 4 blue 188
0 17.68 15 blue 216
0 19.571 1 blue 240
0 20.884 3 blue 248
0 22.268 5 blue 256
0 23.362 7 blue 290
0 24.714 4 blue 317
0 26.042 13 blue 325
0 27.936 8 blue 341
0 29.317 14 blue 365
0 30.385 5 blue 377
0 31.86 9 blue 401
0 34.03 13 blue 409
0 35.121 15 blue 433
0 36.639 14 blue 449
0 37.665 1 blue 472
0 39.422 4 blue 496
0 40.614 3 blue 520
0 42.777 14 blue 547
0 43.82 8 blue 563
0 45.325 1 blue 595
0 46.747 11 blue 603
0 48.146 13 blue 611
0 49.44 14 blue 638
0 51.264 12 blue 645
0 52.492 1 blue 661
0 54.057 13 blue 698
0 55.099 10 blue 714
0 56.207 11 blue 730
0 58.276 2 blue 753
0 59.528 1 blue 761
0 60.994 15 blue 774
0 62.154 11 blue 795
0 63.462 14 blue 835
0 64.822 6 blue 851
0 66.355 1 blue 859
0 67.544 15 blue 891
0 68.729 6 blue 907
0 69.858 13 blue 913
0 71.002 3 blue 932
0 72.604 15 blue 945
0 73.867 8 blue 969
0 75.383 12 blue 979
0 76.396 10 blue 1011
0 77.552 2 blue 1027
0 79.071 8 blue 1032
0 80.196 7 blue 1053
0 81.5 3 blue 1074
0 82.757 9 blue 1098
0 84.599 6 blue 1114
