ID TIME n private balances
3 1787160855.829 0 {} {}
3 1787160855.829 0 None {}
3 1787160855.829 1 None {'5': 0}
3 1787160855.829 2 None {'5': 0, '4': 0}
3 1787160855.829 3 None {'5': 0, '4': 0}
3 1787160855.829 4 None {'5': 0, '4': 0}
3 1787160855.829 5 None {'5': 0, '4': 0, '2': 0}
3 1787160855.829 6 None {'5': 0, '4': 0, '2': 0}
3 1787160855.829 7 None {'5': 0, '4': 0, '2': 0}
3 1787160855.829 8 None {'5': 0, '4': 0, '2': 0}
3 1787160855.829 9 None {'5': 0, '4': 0, '2': 0}
3 1787160855.829 10 None {'5': 0, '4': 0, '2': 0}
3 1787160855.829 11 None {'5': 0, '4': 0, '2': 0}
3 1787160855.829 12 None {'5': 0, '4': 0, '2': 0, '1': 0}
3 1787160855.829 13 None {'5': 0, '4': 0, '2': 0, '1': 0}
3 1787160855.829 14 None {'5': 0, '4': 0, '2': 0, '1': 0}
3 1787160855.829 15 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
3 1787160855.83 16 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
3 1787160855.83 17 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
