ID TIME n private balances
4 1787160921.169 0 {} {}
4 1787160921.169 0 None {}
4 1787160921.169 1 None {'3': 0}
4 1787160921.17 2 None {'3': 0, '5': 0}
4 1787160921.17 3 None {'3': 0, '5': 0, '1': 0}
4 1787160921.17 4 None {'3': 0, '5': 0, '1': 0}
4 1787160921.17 5 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.17 6 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.17 7 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.17 8 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.17 9 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.17 10 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.17 11 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.17 12 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.171 13 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.171 14 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.171 15 None {'3': 0, '5': 0, '1': 0, '4': 0}
4 1787160921.171 16 None {'3': 0, '5': 0, '1': 0, '4': 0}
