ID TIME ROBOT_ID QLTY QTTY TOTAL
0 4.226 4 blue 8
0 5.397 14 blue 31
0 6.447 7 blue 55
0 8.378 3 blue 71
0 10.244 10 blue 95
0 11.304 13 blue 111
0 12.431 12 blue 147
0 13.983 3 blue 155
0 16.088 7 blue 176
0 17.244 5 blue 200
0 18.397 3 blue 216
0 19.73 1 blue 232
0 21.53 10 blue 240
0 23.45 9 blue 248
0 25.284 7 blue 279
0 26.701 4 blue 298
0 27.877 3 blue 322
0 30.34 6 blue 338
0 31.435 15 blue 362
0 33.125 10 blue 377
0 34.349 8 blue 385
0 35.573 2 blue 414
0 37.799 12 blue 422
0 39.7 1 blue 446
0 41.026 10 blue 470
0 42.465 3 blue 500
0 43.897 9 blue 522
0 45.626 10 blue 546
0 46.861 8 blue 559
0 48.91 5 blue 591
0 50.448 15 blue 623
0 52.63 6 blue 646
0 54.647 11 blue 662
0 55.773 9 blue 670
0 57.17 14 blue 708
0 58.328 6 blue 724
0 60.168 13 blue 756
0 62.046 14 blue 772
0 63.523 11 blue 793
0 64.753 10 blue 825
0 66.33 2 blue 841
0 68.658 6 blue 865
0 69.727 12 blue 896
0 72.218 6 blue 906
0 73.677 2 blue 922
0 76.099 9 blue 943
0 77.907 14 blue 975
0 79.402 3 blue 996
0 80.75 13 blue 1012
0 81.917 15 blue 1020
0 82.965 8 blue 1036
0 84.348 9 blue 1060
