ID TIME n private balances
4 1787133570.26 0 {} {}
4 1787133570.26 0 None {}
4 1787133570.26 1 None {'1': 0}
4 1787133570.26 2 None {'1': 0, '2': 0}
4 1787133570.26 3 None {'1': 0, '2': 0, '4': 0}
4 1787133570.26 4 None {'1': 0, '2': 0, '4': 0, '5': 0}
4 1787133570.261 5 None {'1': 0, '2': 0, '4': 0, '5': 0}
4 1787133570.261 6 None {'1': 0, '2': 0, '4': 0, '5': 0}
4 1787133570.261 7 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.261 8 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.261 9 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.261 10 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.261 11 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.261 12 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.261 13 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.262 14 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.262 15 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.262 16 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.262 17 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.262 18 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.262 19 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.262 20 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 21 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 22 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 23 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
