ID TIME n private balances
2 1787161379.673 0 {} {}
2 1787161379.673 0 None {}
2 1787161379.673 1 None {'4': 0}
2 1787161379.673 2 None {'4': 0, '3': 0}
2 1787161379.673 3 None {'4': 0, '3': 0, '2': 0}
2 1787161379.673 4 None {'4': 0, '3': 0, '2': 0}
2 1787161379.673 5 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.673 6 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.673 7 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.673 8 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.674 9 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.674 10 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.674 11 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.674 12 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.674 13 None {'4': 0, '3': 0, '2': 0, '1': 0}
2 1787161379.674 14 None {'4': 0, '3': 0, '2': 0, '1': 0, '5': 0}
2 1787161379.674 15 None {'4': 0, '3': 0, '2': 0, '1': 0, '5': 0}
