ID TIME n private balances
2 1786984291.303 0 {} {}
2 1786984291.303 3 None {'4': 0, '0': 0, '3': 0, '2': 0}
2 1786984291.303 5 None {'4': 3, '0': 0, '3': 0, '2': 0}
2 1786984291.303 9 None {'4': 4, '0': 0, '3': 0, '2': 0}
2 1786984291.303 10 None {'4': 7, '0': 0, '3': 0, '2': 0}
2 1786984291.303 15 None {'4': 7, '0': 0, '3': 0, '2': 0, '1': 0}
2 1786984291.303 18 None {'4': 7, '0': 0, '3': 0, '2': 4, '1': 0}
